,id,city_name,Humidity,Longitud,Latitud,Temperatura,Nubes,Velocidad
123,1649150,Bengkulu,71,102.2655,-3.8004,82.85,98,3.96
124,2036713,Huanren,74,125.3667,41.2647,48.51,100,5.82
125,3141667,Roald,80,6.1333,62.5833,34.14,48,8.05
126,2065176,Murray Bridge,28,139.2667,-35.1167,75.72,0,14.56
127,6185377,Yellowknife,55,-114.3525,62.456,30.13,20,10.36
128,1215957,Termez,33,67.2783,37.2242,75.2,70,25.32
129,3514592,Xalpatlahuac,76,-98.6167,17.4667,66.0,100,5.37
130,3372472,Vila Franca do Campo,82,-25.4333,37.7167,55.4,75,6.91
131,3464809,Descalvado,85,-47.6194,-21.9039,56.39,68,9.75
132,1687674,Santo Niño,52,124.6975,6.435,91.4,40,6.91
133,1650213,Banjarmasin,62,114.591,-3.3244,89.6,40,9.22
134,2126123,Chokurdakh,85,147.9167,70.6333,19.76,11,5.61
135,1650232,Banjar,74,114.9675,-8.19,86.0,20,13.8
136,2092164,Lorengau,69,147.2712,-2.0226,84.67,100,2.06
137,4036284,Alofi,79,-169.9187,-19.0595,84.2,40,4.61
138,505539,Pregradnaya,81,41.1994,43.9508,53.56,6,3.47
139,2643044,Margate,80,1.3862,51.3813,38.35,36,8.97
140,3443061,Chui,84,-53.4616,-33.6971,55.2,0,4.59
141,777019,Vardø,80,31.1107,70.3705,28.4,40,16.11
142,5880054,Barrow,86,-156.7887,71.2906,19.4,90,3.44
143,2450173,Taoudenni,28,-3.9836,22.6783,84.65,69,16.46
144,2630299,Hofn,61,-15.2082,64.2539,39.2,15,6.76
145,5072006,Lincoln,47,-96.667,40.8,55.53,1,3.44
146,3448903,São João da Barra,87,-41.0511,-21.6403,67.39,60,11.77
147,962367,Richards Bay,87,32.0377,-28.783,68.7,100,15.43
148,2068655,Katherine,25,132.2667,-14.4667,91.4,1,11.5
149,2377450,Nouakchott,68,-15.9785,18.0858,69.8,2,16.11
150,1175864,Jhelum,22,73.7264,32.9331,91.24,67,5.73
151,779622,Havøysund,64,24.6622,70.9963,28.44,75,18.41
152,1717926,Catarman,68,124.6377,12.4989,83.73,19,8.37
153,2729907,Longyearbyen,58,15.6401,78.2186,21.2,40,8.05
154,1610187,Kaset Sombun,73,101.9542,16.2805,80.4,98,2.93
155,4297581,Lawrenceburg,82,-84.8966,38.0373,55.99,1,5.75
156,245669,Adré,13,22.2,13.4667,77.11,27,10.02
157,5526337,Midland,94,-102.0779,31.9974,54.81,90,10.36
158,1106677,Bambous Virieux,83,57.7575,-20.3428,77.49,75,14.97
159,3421765,Nanortalik,84,-45.2371,60.1432,36.54,11,8.03
160,2318123,Yenagoa,93,6.2642,4.9247,76.62,100,2.93
161,2184904,Te Horo,71,175.1233,-40.8084,64.85,100,3.0
162,634093,Tornio,64,24.1466,65.8481,33.8,0,9.22
163,461628,Ainaži,90,24.3578,57.8636,39.63,100,13.33
164,3577430,Road Town,89,-64.6167,18.4167,77.67,82,16.53
165,2315026,Kasongo-Lunda,97,16.8167,-6.4667,69.46,99,0.63
166,2396518,Port-Gentil,81,8.7815,-0.7193,78.84,100,5.93
167,3893726,Constitución,91,-72.4167,-35.3333,54.18,59,1.16
168,934322,Mahébourg,83,57.7,-20.4081,77.0,75,14.97
169,3109041,Sestao,100,-3.0072,43.3098,46.63,90,3.44
170,5367788,Lompoc,82,-120.4579,34.6391,52.32,10,5.75
171,2013921,Ust-Kuyga,90,135.6,70.0167,30.7,6,4.18
172,2313002,Matadi,98,13.45,-5.8167,75.49,100,1.74
173,4035715,Avarua,83,-159.775,-21.2078,82.4,40,9.22
174,1486321,Yar-Sale,97,70.8333,66.8333,30.74,100,7.29
175,3868626,Valparaíso,82,-71.6273,-33.0393,57.0,93,4.72
176,3466704,Castro,99,-50.0119,-24.7911,48.16,14,4.74
177,1804162,Lengshuitan,43,111.5956,26.4111,82.87,11,9.19
178,988698,Knysna,88,23.0471,-34.0363,55.4,40,4.61
179,1512101,Agirish,90,63.0231,61.9247,33.01,100,6.91
180,2136150,Luganville,65,167.1667,-15.5333,81.88,73,11.68
181,493997,Shkurinskaya,91,39.3599,46.5858,52.66,53,10.63
182,110690,Faya,72,42.4509,18.3851,59.94,20,5.75
183,3571913,Marsh Harbour,75,-77.0636,26.5412,75.6,74,14.14
184,4653638,Robertson,94,-86.8667,36.5167,57.31,20,6.67
185,1513491,Yangi Marg`ilon,19,71.7189,40.4272,80.6,2,4.61
186,5969025,Haines Junction,65,-137.5108,60.7522,42.8,100,6.91
187,5797693,Hoquiam,87,-123.8893,46.9809,52.68,90,10.36
188,2374583,Bubaque,68,-15.8333,11.2833,77.63,55,14.7
189,1847947,Shingū,72,135.9833,33.7333,66.2,20,10.36
190,1006984,East London,72,27.9116,-33.0153,63.64,100,12.39
191,2013727,Vanavara,51,102.2797,60.34,42.64,59,9.31
192,1696188,Palauig,65,119.9045,15.435,84.9,41,7.65
193,1502073,Krasnosel'kup,99,82.4667,65.7,33.6,100,16.89
194,733722,Ahtopol,93,27.95,42.1,48.2,40,3.44
195,3424607,Tasiilaq,93,-37.6368,65.6145,28.4,99,1.14
196,2126710,Beringovskiy,78,179.3167,63.05,29.46,47,7.0
197,3404558,Cabedelo,100,-34.8339,-6.9811,73.4,40,5.75
198,1621313,Ambulu,65,113.6058,-8.345,86.41,42,6.91
199,3139597,Sistranda,93,8.834,63.7256,33.8,75,11.5
200,3394326,Muaná,95,-49.2167,-1.5283,74.95,100,3.58
201,2214432,Nālūt,22,10.85,30.3333,79.83,38,7.74
202,515012,Oryol,73,36.0803,52.9658,46.02,100,12.24
203,780687,Berlevåg,69,29.0864,70.8578,28.4,75,25.32
204,2297810,Mumford,78,-0.759,5.2618,80.44,100,3.02
205,2155472,Newcastle,68,151.7765,-32.9272,71.87,40,11.5
206,2109701,Auki,66,160.7034,-8.7676,84.79,39,1.52
207,2178753,Kirakira,72,161.9205,-10.4544,83.5,27,9.86
208,3579250,Grand-Bourg,94,-61.3148,15.8835,73.4,75,14.9
209,214389,Kaniama,95,24.1833,-7.5667,65.77,100,3.53
210,1649378,Tambun,66,107.0712,-6.2641,86.36,40,5.75
